"Documentos","Turma","Disciplina","C.H.","Depto","Cursos - Ano/Sem. - Prioridade","Vagas por Curso","Vagas Calouro Veterano","","Matriculados","Atendidas","Pendentes Prioritárias Sujeitas Aprovação","","Não atendidas Prioritárias Sujeitas Aprovação","","Aprovados","Reprovados","Ausência Remota","Docente(s)","Horário","Modo de Oferta","Tipo de Oferta","Periodicidade"
"","GAP233115A-GEOLOGIA","Trabalho de Conclusão de Curso I","60.0","DG","1317E - 5/1 - Obrigatória - Integral","1317E - /","0","100","16","0","0","0","0","0","0","0","0","Matheus Lisboa Nobre da Silva Guillermo Rafael Beltran Navarro","Sábado: 14:00-18:00","Normal","Somente ACEU e/ou teórica e/ou prática","Semanal"
"","GAP233215B-GEOLOGIA","Trabalho de Conclusão de Curso II","60.0","DG","1317E - 5/2 - Obrigatória - Integral","1317E - /","0","100","10","0","0","0","0","0","0","0","0","Matheus Lisboa Nobre da Silva Guillermo Rafael Beltran Navarro","Sábado: 14:00-18:00","Normal","Somente ACEU e/ou teórica e/ou prática","Semanal"
"","GEA23301601TN","Paleobiologia","60.0","DG","CBN15C - 5/1 - Obrigatória - Noturno CBN19C - 5/1 - Obrigatória - Noturno CBN23C - 5/1 - Obrigatória - Noturno CBI15C - Equivalente CBI19C - Equivalente CBI23C - Equivalente","CBN15C - / CBN19C - / CBN23C - / CBI15C - / CBI19C - / CBI23C - /","6","25","0","0","5","4","0","0","0","0","0","","Sábado: 08:00-12:00","Normal","Somente ACEU e/ou teórica e/ou prática","Semanal"
"","GEA23311601TI","Geologia","60.0","DG","CBI15C - 2/1 - Obrigatória - Integral CBI19C - 1/2 - Obrigatória - Integral CBI23C - 2/1 - Obrigatória - Integral CBN15C - Equivalente CBN19C - Equivalente CBN23C - Equivalente","CBI15C - / CBI19C - / CBI23C - / CBN15C - / CBN19C - / CBN23C - /","6","40","0","0","25","9","0","0","0","0","0","","Sexta: 08:00-12:00","Normal","Somente ACEU e/ou teórica e/ou prática","Semanal"
"","GEA23341601T","Paleoecologia","60.0","DG","0308EC - 3/1 - Obrigatória - Integral 0323EC - 2/1 - Obrigatória - Integral","0308EC - / 0323EC - /","6","30","0","0","45","0","0","0","0","0","0","","Terça: 14:00-18:00","Normal","Somente ACEU e/ou teórica e/ou prática","Semanal"
"","GEA245315-GEOLOGIA","Prospecção e Pesquisa Mineral I","60.0","DG","1317E - 4/1 - Obrigatória - Integral","1317E - /","0","100","19","0","0","0","0","0","0","0","0","Cesar Augusto Moreira","Terça: 14:00-18:00","Normal","Somente ACEU e/ou teórica e/ou prática","Semanal"
"","GEA245415-GEOLOGIA","Recursos Energéticos","60.0","DG","1317E - 4/1 - Obrigatória - Integral 0903ES - Equivalente","1317E - / 0903ES - /15","0","100","29","0","0","0","0","0","0","0","0","Cesar Augusto Moreira","Segunda: 08:00-12:00","Normal","Somente ACEU e/ou teórica e/ou prática","Semanal"
"","GEA245515A-GEOLOGIA","Mapeamento Geológico de Áreas Sedimentares","120.0","DG","1317E - 4/1 - Obrigatória - Integral","1317E - /","0","100","10","0","0","0","0","0","0","0","0","Lucas Veríssimo Warren José Eduardo Zaine","Quinta: 14:00-18:00 Quinta: 19:00-21:00 Sexta: 19:00-21:00","Normal","Somente ACEU e/ou teórica e/ou prática","Semanal"
"","GEA245515B-GEOLOGIA","Mapeamento Geológico de Áreas Sedimentares","120.0","DG","1317E - 4/1 - Obrigatória - Integral","1317E - /","0","100","0","0","0","0","0","0","0","0","0","Lucas Veríssimo Warren José Eduardo Zaine","Quinta: 14:00-18:00 Quinta: 19:00-21:00 Sexta: 19:00-21:00","Normal","Somente ACEU e/ou teórica e/ou prática","Semanal"
"","GEA245615-GEOLOGIA","Geologia Histórica","60.0","DG","1317E - 4/1 - Obrigatória - Integral","1317E - /","0","100","10","0","0","0","0","0","0","0","0","Reinaldo Jose Bertini","Sexta: 14:00-18:00","Normal","Somente ACEU e/ou teórica e/ou prática","Semanal"
"","GEA245715-GEOLOGIA","Hidrologia","60.0","DG","1317E - 4/1 - Obrigatória - Integral","1317E - /","0","100","19","0","0","0","0","0","0","0","0","Chang Hung Kiang","Quinta: 08:00-12:00","Normal","Somente ACEU e/ou teórica e/ou prática","Semanal"
"","GEA246315-GEOLOGIA","Geologia do Petróleo","60.0","DG","1317E - 5/1 - Obrigatória - Integral","1317E - /","0","100","13","0","0","0","0","0","0","0","0","Sergio Caetano Filho","Terça: 08:00-12:00","Normal","Somente ACEU e/ou teórica e/ou prática","Semanal"
"","GEA246415-GEOLOGIA","Geologia de Engenharia","60.0","DG","1317E - 5/1 - Obrigatória - Integral 0903ES - Equivalente","1317E - / 0903ES - /15","0","100","29","0","0","0","0","0","0","0","0","","Sexta: 14:00-18:00","Normal","Somente ACEU e/ou teórica e/ou prática","Semanal"
"","GEA246515-GEOLOGIA","Lavra de Minas e Operações Mineiras","60.0","DG","1317E - 5/1 - Obrigatória - Integral","1317E - /","0","100","14","0","0","0","0","0","0","0","0","Rodrigo Prudente de Melo","Sexta: 08:00-12:00","Normal","Somente ACEU e/ou teórica e/ou prática","Semanal"
"","GEA246615-GEOLOGIA","Beneficiamento de Minérios","60.0","DG","1317E - 5/1 - Obrigatória - Integral","1317E - /","0","36","12","0","0","0","0","0","0","0","0","Rodrigo Prudente de Melo","Quinta: 08:00-12:00","Normal","Somente ACEU e/ou teórica e/ou prática","Semanal"
"","GEA246715-GEOLOGIA","Geologia Ambiental","60.0","DG","1317E - 5/1 - Obrigatória - Integral","1317E - /","0","100","15","0","0","0","0","0","0","0","0","Matheus Lisboa Nobre da Silva José Eduardo Zaine","Segunda: 14:00-18:00","Normal","Somente ACEU e/ou teórica e/ou prática","Semanal"
"","GEL000115-GEOLOGIA","Estudos das Suítes dos Depósitos Minerais - optativa","60.0","DG","1317E - / - Optativa - Integral","1317E - /","0","21","21","0","0","0","0","0","0","0","0","Washington Barbosa Leite Junior","Quarta: 08:00-12:00","Normal","Somente ACEU e/ou teórica e/ou prática","Semanal"
"","GEL000615-GEOLOGIA","Geologia Geral I","90.0","DG","1323E - 1/1 - Obrigatória - Integral 1317E - Equivalente","1323E - / 1317E - /","35","65","9","0","0","0","0","0","0","0","0","Rosemarie Rohn","Segunda: 08:00-12:00 Terça: 10:00-12:00","Normal","Somente ACEU e/ou teórica e/ou prática","Semanal"
"","GEL000715-GEOLOGIA","Mineralogia Geral","60.0","DG","1323E - 1/1 - Obrigatória - Integral","1323E - /","35","65","16","0","0","0","0","0","0","0","0","Guillermo Rafael Beltran Navarro","Terça: 14:00-18:00","Normal","Somente ACEU e/ou teórica e/ou prática","Semanal"
